model,kernel_size,train_data,train_augmentation,test_data,test_augmentation,epoch,best,0 precision,0 recall,0 f1-score,0 support,1 precision,1 recall,1 f1-score,1 support,auc
DNSteerableLeNet,5,MLFR,random rotation,MLFR,random rotation,72,True,0.868661548905948,0.9241111111111112,0.895528816388059,18000,0.7494037791230966,0.6189393939393939,0.6779520371753381,6600,0.9185390361952862
DNSteerableLeNet,5,MLFR,random rotation,MLFR,rotation and flipping,72,True,0.8672533920058673,0.9197222222222222,0.8927175173231955,18000,0.7377971330067138,0.6160606060606061,0.6714557014284535,6600,0.9139138257575756
DNSteerableLeNet,5,MLFR,random rotation,MLFR,restricted random rotation,72,True,0.8677290417587041,0.9166111111111112,0.8915005133192846,18000,0.7312925170068028,0.6189393939393939,0.6704414902346955,6600,0.9134312163299664
DNSteerableLeNet,5,MLFR,restricted random rotation,MLFR,rotation and flipping,34,True,0.8668397626112759,0.9088333333333334,0.8873399869819917,18000,0.7135125698324022,0.6192424242424243,0.6630434782608695,6600,0.9004283459595959
DNSteerableLeNet,5,MLFR,restricted random rotation,MLFR,restricted random rotation,34,True,0.8643266779949023,0.9042777777777776,0.8838509991311904,18000,0.7012829403606102,0.6128787878787879,0.6541073738680466,6600,0.8964054250841751
DNSteerableLeNet,5,MLFR,restricted random rotation,MLFR,random rotation,34,True,0.852922788371366,0.9095,0.8803032747217294,18000,0.6986681465038845,0.5722727272727273,0.6291854072963518,6600,0.8845667760942761
AGRadGalNet,3,MLFR,random rotation,MLFR,rotation and flipping,1886,True,0.8832452064305933,0.9187222222222222,0.9006344797538327,18000,0.7510634677556577,0.6687878787878788,0.707541877053779,6600,0.8756904124579125
AGRadGalNet,3,MLFR,random rotation,MLFR,restricted random rotation,1886,True,0.8841515023275497,0.9285555555555556,0.9058096683286364,18000,0.7742275280898876,0.6681818181818182,0.7173064411190632,6600,0.87013773989899
AGRadGalNet,3,MLFR,random rotation,MLFR,random rotation,1886,True,0.8828743273187718,0.9296666666666666,0.9056665043026466,18000,0.7757704569606801,0.6636363636363637,0.7153356197942184,6600,0.8671079124579125
DNSteerableLeNet,5,MLFR,rotation and flipping,MLFR,restricted random rotation,19,True,0.8248131239652837,0.9133888888888888,0.8668441726201461,18000,0.6659524319691451,0.4709090909090909,0.5516996538563947,6600,0.8589046338383838
AGRadGalNet,3,MLFR,rotation and flipping,MLFR,rotation and flipping,4728,True,0.8868820311693674,0.9547777777777776,0.919578361603082,18000,0.8441210264266564,0.6678787878787878,0.7457283031635933,6600,0.8580861742424243
DNSteerableLeNet,5,MLFR,rotation and flipping,MLFR,rotation and flipping,19,True,0.8241802862653538,0.9021111111111112,0.8613866638374621,18000,0.6402613311555737,0.4751515151515151,0.5454861715080883,6600,0.8577994444444443
AGRadGalNet,3,MLFR,rotation and flipping,MLFR,restricted random rotation,4728,True,0.8804896710022954,0.959,0.9180694056641404,18000,0.8522522522522522,0.645,0.7342820181112549,6600,0.8523299579124578
AGRadGalNet,3,MLFR,rotation and flipping,MLFR,random rotation,4728,True,0.8780249704567641,0.9493888888888888,0.912313482636201,18000,0.8226591395756278,0.6403030303030303,0.7201158728806338,6600,0.8474035185185186
AGRadGalNet,3,MLFR,restricted random rotation,MLFR,restricted random rotation,1942,True,0.8734361210611016,0.9347222222222222,0.9030405496068488,18000,0.7798388607832115,0.6306060606060606,0.6973276367596549,6600,0.845579132996633
AGRadGalNet,3,MLFR,restricted random rotation,MLFR,rotation and flipping,1942,True,0.8709643878346763,0.9307222222222222,0.8998522895125554,18000,0.7675675675675676,0.6239393939393939,0.6883409945674885,6600,0.8401074284511784
AGRadGalNet,3,MLFR,restricted random rotation,MLFR,random rotation,1942,True,0.8689108105359503,0.9493333333333334,0.9073434928051824,18000,0.815160113498176,0.6093939393939394,0.6974163343159355,6600,0.8394647853535352
DNSteerableLeNet,5,MLFR,rotation and flipping,MLFR,random rotation,19,True,0.8227092632529214,0.9113333333333332,0.8647565829357652,18000,0.657584209397125,0.4643939393939394,0.5443566290737946,6600,0.8260912626262628
DNSteerableAGRadGalNet,3,MLFR,rotation and flipping,MLFR,rotation and flipping,6672,True,0.8004056421130267,0.9646666666666668,0.87489293092155,18000,0.7811424638678596,0.3439393939393939,0.4775930990953083,6600,0.6912060984848486
DNSteerableAGRadGalNet,3,MLFR,rotation and flipping,MLFR,restricted random rotation,6672,True,0.8045736109170509,0.9597222222222224,0.8753261888475082,18000,0.7682965803771173,0.3642424242424242,0.4941926200020557,6600,0.6903017676767677
DNSteerableLeNet,5,MBFRUncertain,random rotation,MLFR,rotation and flipping,262,True,0.8410468516009413,0.6552222222222223,0.7365955719326734,18000,0.4132551763259903,0.6622727272727272,0.5089363683996041,6600,0.6900147685185186
